"title","date_posted","position","location","url","District","Archive_Date"
"Substitute Teacher",2022-03-30,"Substitute/","Big Horn County School District #2","https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1","Big Horn School District 2",2026-08-11
"Special Education Paraprofessional",2026-07-16,"Support Staff/","Big Horn County School District #2","https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1","Big Horn School District 2",2026-08-11
"Substitute Route and Activity Bus Drivers",NA,"Transportation",NA,"https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1","Big Horn School District 2",2026-08-11
"Route Bus Driver",2025-05-27,"Transportation/","Big Horn County School District #2","https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1","Big Horn School District 2",2026-08-11
"Substitute Teacher",2017-07-05,"Substitute/","District Wide","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3",2026-08-11
"Substitute Bus Driver / Activity Driver",2024-12-17,"Transportation/","Transportation","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3",2026-08-11
"High School Assistant Volleyball Coach",NA,"Athletics/Activities","08/17/2026","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4",2026-08-11
"21 CCLC After School Program Activity Leaders",NA,"Student Support Services","as soon as possible","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4",2026-08-11
"Bus Driver",NA,"Support Staff","1/07/2022","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4",2026-08-11
"Substitute",NA,"Support Staff","as soon as possible","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4",2026-08-11
"Lifeguard",2026-06-11,"Aquatics/","Rawlins Aquatics Center","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"2nd Asst. Track Coach",2026-06-01,"Athletics/Activities/","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"2nd Asst Throwing Track Coach",2026-06-10,"Athletics/Activities/","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"Head Boys Soccer Coach",2026-07-06,"Athletics/Activities/","Rawlins High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"2nd Asst. Boys Wrestling Coach",2026-07-09,"Athletics/Activities/","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"Music Teacher",NA,"Elementary School Teaching",NA,"https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"Daycare Para Professional",2026-07-21,"Elementary School Teaching/","District","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"Substitute Food Service",2026-06-11,"Food Service/","District","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"Custodian",NA,"Maintenance/Custodial",NA,"https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"Substitute Custodian",2026-06-11,"Maintenance/Custodial/","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"Substitute Custodian",2026-06-11,"Maintenance/Custodial/","District","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"Special Education Para Professional",2026-07-23,"Special Education/","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"Substitute Teacher/ Para Professional",2026-06-11,"Substitute/","District","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"Building (Office) Para Professional",2026-07-21,"Support Staff/","Rawlins High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"Substitute Bus Driver",NA,"Transportation","8/18/26","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"Bus Driver",2023-09-22,"Transportation/","District","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1",2026-08-11
"High School Assistant Boys Basketball Coach",2025-03-12,"Athletics/Activities/","H-E-M Junior/Senior High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"First Assistant (Head) Middle School Boys Basketball Coach",2026-02-25,"Athletics/Activities/","Encampment K-12","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Other Assistant Middle School Boys Basketball Coach",2026-02-25,"Athletics/Activities/","Encampment K-12","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Assistant High School Volleyball Coach",2026-03-03,"Athletics/Activities/","H-E-M Junior/Senior High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Other Assistant Middle School Volleyball Coach",2026-03-06,"Athletics/Activities/","H-E-M Junior/Senior High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Other Assistant Middle School Football Coach",2026-03-10,"Athletics/Activities/","Saratoga Middle High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"2nd Assistant High School Football Coach",2026-05-29,"Athletics/Activities/","Saratoga Middle High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"First Assistant Middle School Football Coach",2026-06-04,"Athletics/Activities/","Saratoga Middle High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Other Assistant Middle School Boys Wrestling Coach",2026-06-04,"Athletics/Activities/","Saratoga Middle High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Assistant High School Wrestling Coach",2026-06-04,"Athletics/Activities/","Saratoga Middle High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Other Assistant Middle School Football Coach",2026-07-06,"Athletics/Activities/","Encampment K-12","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Other Assistant Middle School Girls Basketball Coach",2026-07-06,"Athletics/Activities/","Saratoga Middle High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Elementary School Counselor",2026-01-28,"Student Support Services/","Hanna Elementary School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Occupational Therapist(s)",2023-12-22,"Student Support Services/","CCSD#2","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"School Psychologist",2026-05-22,"Student Support Services/","CCSD#2","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Substitute Bus Driver 2026/2027 School Year",2026-06-30,"Substitute/","CCSD#2","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Substitute Classroom/Special Education Aide 2026/2027 School Year",2026-06-30,"Substitute/","CCSD#2","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Substitute Cook Helpers 2026/2027 School Year",2026-06-30,"Substitute/","CCSD#2","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Substitute Custodian 2026/2027 School Year",2026-06-30,"Substitute/","CCSD#2","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Substitute Teacher 2026/2027 School Year",2026-06-30,"Substitute/","CCSD#2","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"Route Bus Driver",2025-12-02,"Support Staff/","Encampment K-12","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2",2026-08-11
"JH Assistant Girls Basketball Coach",2026-04-02,"Athletics/Activities/","Glenrock Jr/Sr High School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2",2026-08-11
"High School Assistant Football Coach",2026-04-13,"Athletics/Activities/","Glenrock Jr/Sr High School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2",2026-08-11
"Occupational Therapist",2026-04-22,"Student Support Services Certified/","Converse County School District #2","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2",2026-08-11
"Daycare Assistant",2026-07-14,"Student Support Services Classified/","Grant Elementary School","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2",2026-08-11
"Special Education Paraprofessional/Bus Aide",2026-08-11,"Student Support Services Classified/","Converse County School District #2","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2",2026-08-11
"Special Education Paraprofessional",2026-04-30,"Student Support Services Classified/","Converse County School District #2","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2",2026-08-11
"Substitute Teacher/Aid/Cook/Custodian/Bus Driver/Summer Help",2019-03-26,"Substitute/","Converse County School District #2","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","Converse County School Distrcit 2",2026-08-11
"DRC Lifeguard",2026-06-01,"Student/","Douglas Recreation Center","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1",2026-08-11
"Occupational Therapist",NA,"Student Support Services","Immediately","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1",2026-08-11
"Certified Occupational Therapy Assistant (COTA)",NA,"Student Support Services","08/03/2026","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1",2026-08-11
"CCSD#1 Paraprofessionals",2026-07-09,"Support Staff/","Converse County School District #1","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1",2026-08-11
"Crossing Guard",2026-06-23,"Transportation/","Transportation","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1",2026-08-11
"Substitute Crossing Guard",2026-06-23,"Transportation/","Transportation","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","Converse County School District 1",2026-08-11
"Head 7th Volleyball Coach",2025-12-16,"Athletics/Activities/","Lander Middle School","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1",2026-08-11
"Custodian",2026-08-10,"Maintenance/","District Office - Jack King Building","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1",2026-08-11
"Substitute Custodian",2026-08-04,"Substitute/","District-wide","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1",2026-08-11
"Substitute - Classroom (At-will)",2026-07-06,"Substitute/","District-wide","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1",2026-08-11
"Substitute Bus/Activity Driver (at-will)",2025-06-11,"Substitute/","Central Services","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1",2026-08-11
"Substitute Bus/ Activity Driver (At-Will)",2026-07-06,"Substitute/","Central Services","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1",2026-08-11
"Lights On Classroom Helper - High School Students may apply",2026-08-10,"Temporary/","Lights On","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1",2026-08-11
"Lights On Early Bird Leader",2026-08-10,"Temporary/","Lights On","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1",2026-08-11
"Lights On Program Site Coordinator",2026-08-10,"Temporary/","Lights On","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1",2026-08-11
"Lights On Classroom Leader",2026-08-10,"Temporary/","Lights On","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1",2026-08-11
"Non-CDL Route Driver",2026-07-06,"Transportation / Warehouse/","District-wide","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1",2026-08-11
"Bus Monitor",2026-07-31,"Transportation / Warehouse/","Central Services","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","Fremont County School District 1",2026-08-11
"Special Education Director - Open Until Filled",2026-05-29,"Administration/","Fremont County School District 21","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21",2026-08-11
"Northern Arapaho Language Teachers - Open Until Filled",2026-05-08,"Elementary School Teaching/","Fremont County School District 21","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21",2026-08-11
"Substitute Cooks",2025-10-06,"Student Support Services/","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21",2026-08-11
"Special Education Teachers - Open Until Filled.",2026-03-24,"Student Support Services/","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21",2026-08-11
"Substitute Teacher",2023-09-12,"Substitute/","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21",2026-08-11
"Paraprofessional (Special Education)",2026-03-24,"Support Staff/","Fremont County School District 21","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21",2026-08-11
"No jobs",NA,NA,NA,"https://www.applitrack.com/fremont24/onlineapp/default.aspx?all=1","Fremont County School District 24",2026-08-11
"High School Assistant Volleyball Coach",NA,"Athletics/Activities","07/01/2025","https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"HS Boys Basketball Coach HEAD",NA,"Athletics/Activities","11/20/2026","https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Assistant HS Girls Basketball Coach",NA,"Athletics/Activities",NA,"https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Assistant High School Boys Basketball Coach",NA,"Athletics/Activities",NA,"https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Assistant HS Football Coach",NA,"Athletics/Activities",NA,"https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Head HS Girls Basketball Coach",NA,"Athletics/Activities",NA,"https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Head HS Wrestling Coach",NA,"Athletics/Activities",NA,"https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Youth Volleyball Coach",NA,"Athletics/Activities",NA,"https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Grounds Keeper/Custodian",2026-04-23,"Maintenance/Custodial/","Wind River Schools","https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Custodian",2026-05-12,"Maintenance/Custodial/","Wind River Schools","https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Paraprofessional Library",NA,"Paraprofessional",NA,"https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Title 1 Paraprofessional",2026-06-23,"Paraprofessional/","Wind River Elementary","https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Substitute Teacher",2024-08-20,"Substitute/","Wind River Schools","https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Substitute Para/Custodian/Food Service",2024-11-14,"Substitute/","Wind River Schools","https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Bus Driver",NA,"Support Staff",NA,"https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","Fremont County School District 6",2026-08-11
"Assistant High School Girls Basketball Coach",2026-05-15,"Athletics/Activities/","Wyoming Indian High School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2026-08-11
"High School Assistant Volleyball Coach",2026-05-15,"Athletics/Activities/","Wyoming Indian High School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2026-08-11
"High School Head Robotics Coach",2026-06-16,"Athletics/Activities/","Wyoming Indian High School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2026-08-11
"High School Assistant Robotics Coach",2026-06-16,"Athletics/Activities/","Wyoming Indian High School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2026-08-11
"Substitute School Nurse",2020-07-23,"Student Health Services/","District Wide","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2026-08-11
"Substitute Teacher - Classroom",2018-10-09,"Substitute Certified/","District Wide","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2026-08-11
"Substitute School Secretary",NA,"Substitute Non Certified",NA,"https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2026-08-11
"Substitute Cook",2018-10-10,"Substitute Non Certified/","District Wide","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2026-08-11
"Substitute Custodian",2019-09-09,"Substitute Non Certified/","District Wide","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2026-08-11
"Bus Driver",2023-09-18,"Transportation/","District Wide","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2026-08-11
"Substitute Bus Driver",2021-07-09,"Transportation/","District Wide","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14",2026-08-11
"No jobs",NA,NA,NA,"https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","Lincoln County School District 1",2026-08-11
"Freshman Football Coach",2026-06-01,"Athletics/Activities/","Powell High School","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Bus Paraeducator",NA,"Para-Educator","08/20/2026","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Job Coach Paraeducator",2026-06-25,"Para-Educator/","Powell High School","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Elementary Paraeducators",2026-06-17,"Para-Educator/","Southside Elementary School","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Special Education Paraeducator",2026-06-17,"Para-Educator/","Southside Elementary School","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Special Education Paraeducator",2026-08-11,"Para-Educator/","Powell Middle School","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Substitute School Nurse",2025-09-18,"Student Support Services/","District-Wide K-12","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Substitute Teacher",2024-07-03,"Substitute/","District-Wide K-12","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Substitute Custodian",2024-07-03,"Substitute Support Services/","District-Wide K-12","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Substitute Para-Educator",2024-07-03,"Substitute Support Services/","District-Wide K-12","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Substitute Bus Driver",2021-09-27,"Transportation/","Transportation Department","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Bus Route Driver - Clark Elementary School - Clark, WY",2026-06-17,"Transportation/","Transportation Department","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Route Bus Driver",2026-06-17,"Transportation/","Transportation Department","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","Park County School District 1",2026-08-11
"Assistant Girls Volleyball Coach (6) Positions",2026-06-01,"Athletics/Activities/","Cody High School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Middle School Volleyball Coach",2026-07-28,"Athletics/Activities/","Cody Middle School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"High School Assistant Football Coach",2026-07-28,"Athletics/Activities/","Cody High School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Middle School Assistant Football Coach",2026-07-28,"Athletics/Activities/","Cody Middle School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Assistant Drama Coach",2026-08-11,"Athletics/Activities/","Cody High School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Fourth Grade Classroom Teacher",NA,"Elementary School Teaching","08/17/2026","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"School Nutrition Assistant (Part Time)",2026-07-21,"Food Services/","Sunset Elementary School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Custodian",2026-04-10,"Maintenance/Custodial/","Cody High School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"ASD Special Education Teacher",2026-05-27,"Student Support Services/","Livingston Elementary School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"ASD Special Education Teacher",2026-03-27,"Student Support Services/","Cody Middle School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Elementary Special Education Resource Teacher",2026-02-06,"Student Support Services/","Eastside Elementary School","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Substitute Paraeducator (Aide) 2026-2027 School Year",2026-07-13,"Substitute/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Substitute Nurse 2026-2027 School Year",2026-07-13,"Substitute/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Substitute Custodian 2026-2027 School Year",2026-07-08,"Substitute/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Substitute Teacher 2026-2027 School Year",2026-07-13,"Substitute/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Special Education Behavior Paraeducator",2026-07-16,"Support Staff/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Special Education Life Skills Paraeducator",2026-07-16,"Support Staff/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Special Education Resource Paraeducator",2026-07-16,"Support Staff/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Kinderboost Elementary Para Educator (Part Time)",2026-07-28,"Support Staff/","District Office","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Permanent Support Specialist - Special Education",2026-07-28,"Support Staff/","District Wide","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Bus Aide",NA,"Transportation","08/17/2026","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Route Driver",NA,"Transportation","08/17/2026","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Crossing Guard",2026-07-16,"Transportation/","All Schools","https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","Park County School District 6",2026-08-11
"Tongue River Custodian",2026-07-23,"Maintenance/Custodial/","TR Schools","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2026-08-11
"BHE Special Education Paraprofessional",2026-08-04,"Support Staff/","Big Horn Elementary","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2026-08-11
"TRMS Assistant Volleyball Coach",2026-02-04,"Athletics/Activities/","Tongue River Middle School","https://www.applitrack.com/sheridanwy/onlineapp/default.aspx?all=1","Sheridan County School District 1",2026-08-11
